Materie,Descriere,Profesor
DE,dispozitive electronice,Gheorghe Pana
ME,masuratori electronice,Machedon Pisu
SS,Semnale Sisteme,Ivanovici Mihai
PJ,Programare Java,Danciu Gabriel
TS,Teoria Sistemelor,Rosenberg Dan
